City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Wyoming,MI,2.5,26.5,20.6,10,17.4,30.5,643'
Flint,MI,4.5,36.8,25.4,16.3,22.7,35.2,751'
Detroit,MI,4.7,31.7,25,12.1,17.8,30.8,656'
Warren,MI,4.7,31.7,25,12.1,17.8,30.8,627'
Dearborn,MI,4.7,31.7,25,12.1,17.8,30.8,591'
Lansing,MI,5,28.2,21.9,10.4,17.7,26.8,860'
East Lansing,MI,5,28.2,21.9,10.4,17.7,26.8,856'
Minneapolis,MN,2.7,24.1,21.7,8.2,17.8,23.6,830'
St. Paul,MN,2.7,24.1,21.7,8.2,17.8,23.6,795'
Duluth,MN,7.7,28.4,24.1,9.6,23.5,29.2,702'
St. Louis,MO,4,30.6,24.2,12.3,17,28.9,466'
Springfield,MO,4.4,29,22.9,12.4,20.4,33.6,"1,299'"
Jackson,MS,2.3,35,19.6,11.5,13.9,30.4,279'
Gulfport,MS,5,42.2,26.4,13.3,22.6,34.6,19.69'
Biloxi,MS,5,42.2,26.4,13.3,22.6,34.6,19.69'
Pascagoula,MS,5,42.2,26.4,13.3,22.6,34.6,10'
Raleigh,NC,2.8,25.3,23,8.5,14.4,28.7,315'
Greensboro,NC,3.2,32.8,26,12.1,20.2,26.9,892'
High Point,NC,3.2,32.8,26,12.1,20.2,26.9,938'
Charlotte,NC,3.4,30.5,25.6,11.5,15.9,28.7,761'
Concord,NC,3.4,30.5,25.6,11.5,15.9,28.7,705'
Gastonia,NC,3.4,30.5,25.6,11.5,15.9,28.7,797'
Durham,NC,4.1,27.4,17.5,12.9,20.8,22.1,404'
Chapel Hill,NC,4.1,27.4,17.5,12.9,20.8,22.1,486'
Winston,NC,4.4,33.7,27.7,13.4,19.5,28,970'
Salem,NC,4.4,33.7,27.7,13.4,19.5,28,970'
Wilmington,NC,4.6,31.6,25.7,11.9,12.1,25.4,30'
